person	organization	position	notes	g_e
Lane / Robert W.	General Electric			m-W
Larsen / Ralph S.	General Electric			m-W
Lazarus / Rochelle B.	General Electric			f-W
Mulva / James J.	General Electric			m-W
Nunn / Samuel A.	General Electric			m-W
Penske / Roger S.	General Electric			m-W
Swieringa / Robert J.	General Electric			m-W
Tisch / James S.	General Electric			m-W
Warner / Douglas A. III	General Electric			m-W
Barnet / William III	Bank of America Corp.			m-W
Bies / Susan S.	Bank of America Corp.			f-W
Boardman / William P.	Bank of America Corp.			m-W
Bramble / Frank P. Sr.	Bank of America Corp.			m-W
Colbert / Virgis W.	Bank of America Corp.			m-B
Gifford / Charles K.	Bank of America Corp.			m-W
Holliday / Charles O. Jr.	Bank of America Corp.			m-W
Jones / D. Paul Jr.	Bank of America Corp.			m-W
Lozano / Monica C.	Bank of America Corp.			f-L
May / Thomas J.	Bank of America Corp.			m-W
Moynihan / Brian T.	Bank of America Corp.			m-W
Powell / Donald E.	Bank of America Corp.			m-W
Rossotti / Charles O.	Bank of America Corp.			m-W
Scully / Robert W.	Bank of America Corp.			m-W
Armitage / Richard L.	ConocoPhillips			m-W
Auchinleck / Richard H.	ConocoPhillips			m-W
Copeland / James E. Jr.	ConocoPhillips			m-W
Duberstein / Kenneth M.	ConocoPhillips			m-W
Harkin / Ruth R.	ConocoPhillips			f-W
Lance / Ryan M.	ConocoPhillips			m-W
McGraw / Harold III	ConocoPhillips			m-W
Mulva / James J.	ConocoPhillips			m-W
Niblock / Robert A.	ConocoPhillips			m-W
Norvik / Harald	ConocoPhillips			m-W
Reilly / William K.	ConocoPhillips			m-W
Shackouls / Bobby S.	ConocoPhillips			m-W
Tschinkel / Victoria J.	ConocoPhillips			f-W
Turner / Kathryn C.	ConocoPhillips			f-B
Wade / William E. Jr.	ConocoPhillips			m-W
Amelio / Gilbert F.	AT&T			m-W
Anderson / Reuben V.	AT&T			m-B
Blanchard / James H.	AT&T			m-W
Chico Pardo / Jaime	AT&T			m-L
Kelly / James P.	AT&T			m-W
Madonna / Jon C.	AT&T			m-W
Martin / Lynn Morley	AT&T			f-W
McCoy / John B.	AT&T			m-W
Roche / Joyce M.	AT&T			f-B
Rose / Matthew K.	AT&T			m-W
Stephenson / Randall L.	AT&T			m-W
Tyson / Laura D.	AT&T			f-W
Upton / Patricia P.	AT&T			f-W
Butler / Stephen G.	Ford Motor			m-W
Casiano / Kimberly A.	Ford Motor			f-L
Earley / Anthony F. Jr.	Ford Motor			m-W
Ford / Edsel B.	Ford Motor			m-W
Ford / William Clay Jr.	Ford Motor			m-W
Gephardt / Richard A.	Ford Motor			m-W
Hance / James H. Jr.	Ford Motor			m-W
Hesterberg / Earl J.	Ford Motor			m-W
Hockaday / Irvine O. Jr.	Ford Motor			m-W
Manoogian / Richard A.	Ford Motor			m-W
Marram / Ellen R.	Ford Motor			f-W
Mulally / Alan R.	Ford Motor			m-W
Neal / Homer A.	Ford Motor			m-B
Shaheen / Gerald L.	Ford Motor			m-W
Thornton / John L.	Ford Motor			m-W
Bowles / Crandall C.	J.P. Morgan Chase & Co.			f-W
Burke / Stephen B.	J.P. Morgan Chase & Co.			m-W
Cote / David M.	J.P. Morgan Chase & Co.			m-W
Crown / James S.	J.P. Morgan Chase & Co.			m-W
Dimon / Jamie	J.P. Morgan Chase & Co.			m-W
Futter / Ellen V.	J.P. Morgan Chase & Co.			f-W
Gray / William H. III	J.P. Morgan Chase & Co.			m-B
Jackson / Laban P. Jr.	J.P. Morgan Chase & Co.			m-W
Novak / David C.	J.P. Morgan Chase & Co.			m-W
Raymond / Lee R.	J.P. Morgan Chase & Co.			m-W
Weldon / William C.	J.P. Morgan Chase & Co.			m-W
Andreessen / Marc L.	Hewlett-Packard			m-W
Apotheker / Leo	Hewlett-Packard			m-W
Babbio / Lawrence T. Jr.	Hewlett-Packard			m-W
Baldauf / Sari M.	Hewlett-Packard			f-W
Gupta / Rajiv L.	Hewlett-Packard			m-A
Hammergren / John H.	Hewlett-Packard			m-W
Hyatt / Joel Z.	Hewlett-Packard			m-W
Joyce / John R.	Hewlett-Packard			m-W
Lane / Raymond J.	Hewlett-Packard			m-W
Ryan / Robert L.	Hewlett-Packard			m-B
Salhany / Lucille S.	Hewlett-Packard			f-W
Thompson / G. Kennedy	Hewlett-Packard			m-W
Whitman / Meg	Hewlett-Packard			f-W
Buffett / Howard G.	Berkshire Hathaway			m-W
Buffett / Warren E.	Berkshire Hathaway			m-W
Burke / Stephen B.	Berkshire Hathaway			m-W
Decker / Susan L.	Berkshire Hathaway			f-W
Gates / William H. III	Berkshire Hathaway			m-W
Gottesman / David S.	Berkshire Hathaway			m-W
Guyman / Charlotte	Berkshire Hathaway			f-W
Keough / Donald R.	Berkshire Hathaway			m-W
Munger / Charles T.	Berkshire Hathaway			m-W
Murphy / Thomas S.	Berkshire Hathaway			m-W
Olson / Ronald L.	Berkshire Hathaway			m-W
Scott / Walter Jr.	Berkshire Hathaway			m-W
Belda / Alain J. P.	Citigroup			m-L
Collins / Timothy C.	Citigroup			m-W
Grundhofer / Jerry A.	Citigroup			m-W
Joss / Robert L.	Citigroup			m-W
Liveris / Andrew N.	Citigroup			m-W
O'Neill / Michael E.	Citigroup			m-W
Pandit / Vikram S.	Citigroup			m-A
Parsons / Richard D.	Citigroup			m-B
Ricciardi / Lawrence R.	Citigroup			m-W
Rodin / Judith	Citigroup			f-W
Ryan / Robert L.	Citigroup			m-B
Santomero / Anthony M.	Citigroup			m-W
Taylor / Diana L.	Citigroup			f-W
Thompson / William S. Jr.	Citigroup			m-W
Zedillo / Ernesto	Citigroup			m-L
Carrion / Richard L.	Verizon Communications			m-L
Keeth / M. Frances	Verizon Communications			f-W
Lane / Robert W.	Verizon Communications			m-W
McAdam / Lowell C.	Verizon Communications			m-W
Moose / Sandra O.	Verizon Communications			f-W
Neubauer / Joseph	Verizon Communications			m-W
Nicolaisen / Donald T.	Verizon Communications			m-W
O'Brien / Thomas H.	Verizon Communications			m-W
Otis / Clarence Jr.	Verizon Communications			m-B
Price / Hugh B.	Verizon Communications			m-B
Seidenberg / Ivan G.	Verizon Communications			m-W
Slater / Rodney E.	Verizon Communications			m-B
Snow / John W.	Verizon Communications			m-W
Stafford / John R.	Verizon Communications			m-W
Bryant / Andy D.	McKesson			m-W
Budd / Wayne A.	McKesson			m-B
Hammergren / John H.	McKesson			m-W
Irby / Alton F. III	McKesson			m-W
Jacobs / M. Christine	McKesson			f-W
Knowles / Marie L.	McKesson			f-W
Lawrence / David M.	McKesson			m-W
Mueller / Edward A.	McKesson			m-W
Shaw / Jane E.	McKesson			f-W
Akerson / Daniel F.	General Motors			m-W
Bonderman / David	General Motors			m-W
Davis / Erroll B. Jr.	General Motors			m-B
Girsky / Stephen J.	General Motors			m-W
Isdell / E. Neville	General Motors			m-W
Krebs / Robert D.	General Motors			m-W
Laskaway / Philip A.	General Motors			m-W
Marinello / Kathryn V.	General Motors			f-W
Russo / Patricia F.	General Motors			f-W
Stephenson / Carol M.	General Motors			f-W
Telles / Cynthia A.	General Motors			f-L
Whitacre / Edward E. Jr.	General Motors			m-W
Benmosche / Robert H.	American International Group			m-W
Johnson / Suzanne Nora	American International Group			f-W
Koellner / Laurette T.	American International Group			f-W
Layton / Donald H.	American International Group			m-W
Lynch / Christopher S.	American International Group			m-W
Martinez / Arthur C.	American International Group			m-W
Miles / George L. Jr.	American International Group			m-B
Miller / Henry S.	American International Group			m-W
Miller / Robert S.	American International Group			m-W
Offit / Morris W.	American International Group			m-W
Rittenmeyer / Ronald A.	American International Group			m-W
Steenland / Douglas M.	American International Group			m-W
Arnold / Colleen F.	Cardinal Health			f-W
Barrett / George S.	Cardinal Health			m-W
Britt / Glenn A.	Cardinal Health			m-W
Cox / Carrie S.	Cardinal Health			f-W
Darden / Calvin	Cardinal Health			m-B
Downey / Bruce L.	Cardinal Health			m-W
Finn / John F.	Cardinal Health			m-W
Kenny / Gregory B.	Cardinal Health			m-W
Mongan / James J.	Cardinal Health			m-W
Notebaert / Richard C.	Cardinal Health			m-W
Raisbeck / David W.	Cardinal Health			m-W
Spaulding / Jean G.	Cardinal Health			f-B
Banks / Edwin M.	CVS Caremark			m-W
Brown / C. David II	CVS Caremark			m-W
Dorman / David W.	CVS Caremark			m-W
Heard / Marian L.	CVS Caremark			f-B
Joyce / William H.	CVS Caremark			m-W
Merlo / Larry J.	CVS Caremark			m-W
Millon / Jean-Pierre	CVS Caremark			m-W
Murray / Terrence	CVS Caremark			m-W
Piccolo / C. A. Lance	CVS Caremark			m-W
Rosenberg / Sheli Z.	CVS Caremark			f-W
Ryan / Thomas M.	CVS Caremark			m-W
Swift / Richard J.	CVS Caremark			m-W
Williams / Kristen Gibney	CVS Caremark			f-W
Baker / John D. II	Wells Fargo			m-W
Chen / John S.	Wells Fargo			m-A
Dean / Lloyd H.	Wells Fargo			m-B
Engel / Susan E.	Wells Fargo			f-W
Hernandez / Enrique Jr.	Wells Fargo			m-L
James / Donald M.	Wells Fargo			m-W
McCormick / Richard D.	Wells Fargo			m-W
McDonald / Mackey J.	Wells Fargo			m-W
Milligan / Cynthia H.	Wells Fargo			f-W
Moore / Nicholas G.	Wells Fargo			m-W
Quigley / Philip J.	Wells Fargo			m-W
Runstad / Judith M.	Wells Fargo			f-W
Sanger / Stephen W.	Wells Fargo			m-W
Stumpf / John G.	Wells Fargo			m-W
Swenson / Susan	Wells Fargo			f-W
Belda / Alain J. P.	IBM			m-L
Black / Cathleen P.	IBM			f-W
Brody / William R.	IBM			m-W
Chenault / Kenneth I.	IBM			m-B
Eskew / Michael L.	IBM			m-W
Jackson / Shirley Ann	IBM			f-B
Liveris / Andrew N.	IBM			m-W
McNerney / W. James Jr.	IBM			m-W
Owens / James W.	IBM			m-W
Palmisano / Samuel J.	IBM			m-W
Rometty / Virginia M.	IBM			f-W
Spero / Joan E.	IBM			f-W
Taurel / Sidney	IBM			m-W
Zambrano / Lorenzo H.	IBM			m-L
Ballard / William C. Jr.	UnitedHealth Group			m-W
Burke / Richard T.	UnitedHealth Group			m-W
Darretta / Robert J.	UnitedHealth Group			m-W
Hemsley / Stephen J.	UnitedHealth Group			m-W
Hooper / Michele J.	UnitedHealth Group			f-B
Leatherdale / Douglas W.	UnitedHealth Group			m-W
Renwick / Glenn M.	UnitedHealth Group			m-W
Shine / Kenneth I.	UnitedHealth Group			m-W
Wilensky / Gail R.	UnitedHealth Group			f-W
Braly / Angela F.	Procter & Gamble			f-W
Chenault / Kenneth I.	Procter & Gamble			m-B
Cook / Scott D.	Procter & Gamble			m-W
Gupta / Rajat K.	Procter & Gamble			m-A
McDonald / Robert A.	Procter & Gamble			m-W
McNerney / W. James Jr.	Procter & Gamble			m-W
Rodgers / Johnathan A.	Procter & Gamble			m-B
Whitman / Meg	Procter & Gamble			f-W
Wilderotter / Mary Agnes	Procter & Gamble			f-W
Woertz / Patricia A.	Procter & Gamble			f-W
Zedillo / Ernesto	Procter & Gamble			m-L
Anderson / Reuben V.	Kroger			m-B
Beyer / Robert D.	Kroger			m-W
Dillon / David B.	Kroger			m-W
Kropf / Susan J.	Kroger			f-W
Lamacchia / John T.	Kroger			m-W
Lewis / David B.	Kroger			m-B
McMullen / W. Rodney	Kroger			m-W
Montoya / Jorge P.	Kroger			m-L
Moore / Clyde R.	Kroger			m-W
Phillips / Susan M.	Kroger			f-W
Rogel / Steven R.	Kroger			m-W
Runde / James A.	Kroger			m-W
Sargent / Ronald L.	Kroger			m-W
Shackouls / Bobby S.	Kroger			m-W
Cotros / Charles H.	AmerisourceBergen			m-W
Gochnauer / Richard W.	AmerisourceBergen			m-W
Gozon / Richard C.	AmerisourceBergen			m-W
Hagenlocker / Edward E.	AmerisourceBergen			m-W
Henney / Jane E.	AmerisourceBergen			f-W
Hyle / Kathleen W.	AmerisourceBergen			f-W
Long / Michael J.	AmerisourceBergen			m-W
McGee / Henry W.	AmerisourceBergen			m-B
Yost / R. David	AmerisourceBergen			m-W
Brotman / Jeffrey H.	Costco Wholesale			m-W
Carson / Benjamin S. Sr.	Costco Wholesale			m-B
Decker / Susan L.	Costco Wholesale			f-W
DiCerchio / Richard D.	Costco Wholesale			m-W
Evans / Daniel J.	Costco Wholesale			m-W
Galanti / Richard A.	Costco Wholesale			m-W
Gates / William H. Sr.	Costco Wholesale			m-W
James / Hamilton E.	Costco Wholesale			m-W
Jelinek / W. Craig	Costco Wholesale			m-W
Libenson / Richard M.	Costco Wholesale			m-W
Meisenbach / John W.	Costco Wholesale			m-W
Munger / Charles T.	Costco Wholesale			m-W
Raikes / Jeffrey S.	Costco Wholesale			m-W
Ruckelshaus / Jill S.	Costco Wholesale			f-W
Sinegal / James D.	Costco Wholesale			m-W
Calgaard / Ronald K.	Valero Energy			m-W
Choate / Jerry D.	Valero Energy			m-W
Engelhardt / Irl F.	Valero Energy			m-W
Escobedo / Ruben M.	Valero Energy			m-L
Klesse / William R.	Valero Energy			m-W
Marbut / Bob	Valero Energy			m-W
Nickles / Don	Valero Energy			m-W
Profusek / Robert A.	Valero Energy			m-W
Purcell / Susan Kaufman	Valero Energy			f-W
Waters / Stephen M.	Valero Energy			m-W
Buckley / George W.	Archer Daniels Midland			m-W
Carter / Mollie Hale	Archer Daniels Midland			f-W
Dufour / Pierre	Archer Daniels Midland			m-W
Felsinger / Donald E.	Archer Daniels Midland			m-W
Haynes / Victoria F.	Archer Daniels Midland			f-W
Moore / Patrick J.	Archer Daniels Midland			m-W
Neto / Antonio Maciel	Archer Daniels Midland			m-L
O'Neill / Thomas F.	Archer Daniels Midland			m-W
Westbrook / Kelvin R.	Archer Daniels Midland			m-B
Woertz / Patricia A.	Archer Daniels Midland			f-W
Biggs / John H.	Boeing			m-W
Bryson / John E.	Boeing			m-W
Calhoun / David L.	Boeing			m-W
Collins / Arthur D. Jr.	Boeing			m-W
Cook / Linda Z.	Boeing			f-W
Daley / William M.	Boeing			m-W
Duberstein / Kenneth M.	Boeing			m-W
Giambastiani / Edmund P. Jr.	Boeing			m-W
Liddy / Edward M.	Boeing			m-W
McDonnell / John F.	Boeing			m-W
McNerney / W. James Jr.	Boeing			m-W
Schwab / Susan C.	Boeing			f-W
Zafirovski / Mike S.	Boeing			m-W
Ackerman / F. Duane	Home Depot			m-W
Batchelder / David H.	Home Depot			m-W
Blake / Frank	Home Depot			m-W
Blank / Arthur M.	Home Depot			m-W
Bousbib / Ari	Home Depot			m-W
Brenneman / Gregory D.	Home Depot			m-W
Carey / Albert	Home Depot			m-W
Codina / Armando	Home Depot			m-L
Hill / Bonnie G.	Home Depot			f-B
Johnson-Leipold / Helen	Home Depot			f-W
Katen / Karen L.	Home Depot			f-W
Langone / Kenneth G.	Home Depot			m-W
Austin / Roxanne S.	Target			f-L
Darden / Calvin	Target			m-B
Dillon / Mary N.	Target			f-W
Johnson / James A.	Target			m-W
Kovacevich / Richard M.	Target			m-W
Minnick / Mary E.	Target			f-W
Mulcahy / Anne M.	Target			f-W
Rice / Derica W.	Target			m-B
Sanger / Stephen W.	Target			m-W
Steinhafel / Gregg W.	Target			m-W
Stumpf / John G.	Target			m-W
Trujillo / Solomon D.	Target			m-L
Baker / Lenox D. Jr.	Wellpoint			m-W
Bayh / Susan B.	Wellpoint			f-W
Braly / Angela F.	Wellpoint			f-W
Burke / Sheila P.	Wellpoint			f-W
Bush / William H. T.	Wellpoint			m-W
Hill / Julie A.	Wellpoint			f-W
Jobe / Warren Y.	Wellpoint			m-W
Mays / William G.	Wellpoint			m-B
Peru / Ramiro G.	Wellpoint			m-L
Riegle / Donald W. Jr.	Wellpoint			m-W
Ryan / William J.	Wellpoint			m-W
Schaefer / George A. Jr.	Wellpoint			m-W
Ward / Jackie M.	Wellpoint			f-W
Davis / Steven A.	Walgreen			m-B
Foote / William C.	Walgreen			m-W
Frissora / Mark P.	Walgreen			m-W
Graham / Ginger L.	Walgreen			f-W
McNally / Alan G.	Walgreen			m-W
Schlichting / Nancy M.	Walgreen			f-W
Schwartz / David Y.	Walgreen			m-W
Silva / Alejandro	Walgreen			m-L
Skinner / James A.	Walgreen			m-W
Wasson / Greg D.	Walgreen			m-W
Coleman / Mary Sue	Johnson & Johnson			f-W
Cullen / James G.	Johnson & Johnson			m-W
Davis / Ian E. L.	Johnson & Johnson			m-W
Gorsky / Alex	Johnson & Johnson			m-W
Johns / Michael M. E.	Johnson & Johnson			m-W
Lindquist / Susan L.	Johnson & Johnson			f-W
Mulcahy / Anne M.	Johnson & Johnson			f-W
Mullin / Leo F.	Johnson & Johnson			m-W
Perez / William D.	Johnson & Johnson			m-L
Prince / Charles O. III	Johnson & Johnson			m-W
Satcher / David	Johnson & Johnson			m-B
Weldon / William C.	Johnson & Johnson			m-W
Arvizu / Dan Eliab	State Farm			m-W
Czarnecki / Gerald M.	State Farm			m-W
Davidson / Michael C.	State Farm			m-W
DeMuth / Christopher C.	State Farm			m-W
Jones / W. Steven	State Farm			m-W
Knight / W. H. Jr.	State Farm			m-B
Muhlberg / Judith A.	State Farm			f-W
Phillips / Susan M.	State Farm			f-W
Rust / Edward B. Jr.	State Farm			m-W
Rutrough / James E.	State Farm			m-W
Stecko / Paul T.	State Farm			m-W
Strobel / Pamela B.	State Farm			f-W
Tipsord / Michael L.	State Farm			m-W
Zeglis / John D.	State Farm			m-W
Barker / Howard W. Jr.	Medco Health Solutions			m-W
Cassis / John L.	Medco Health Solutions			m-W
Goldstein / Michael	Medco Health Solutions			m-W
Lillis / Charles M.	Medco Health Solutions			m-W
Potter / Myrtle S.	Medco Health Solutions			f-B
Roper / William L.	Medco Health Solutions			m-W
Snow / David B. Jr.	Medco Health Solutions			m-W
Stevens / David D.	Medco Health Solutions			m-W
Wilson / Blenda J.	Medco Health Solutions			f-B
Ballmer / Steven A.	Microsoft			m-W
Dublon / Dina	Microsoft			f-L
Gates / William H. III	Microsoft			m-W
Gilmartin / Raymond V.	Microsoft			m-W
Hastings / Reed	Microsoft			m-W
Klawe / Maria M.	Microsoft			f-W
Korologos / Ann McLaughlin	Microsoft			f-W
Marquardt / David F.	Microsoft			m-W
Noski / Charles H.	Microsoft			m-W
Panke / Helmut	Microsoft			m-W
Chenevert / Louis R.	United Technologies			m-W
Faraci / John V.	United Technologies			m-W
Garnier / Jean-Pierre	United Technologies			m-W
Gorelick / Jamie S.	United Technologies			f-W
Gutierrez / Carlos M.	United Technologies			m-L
Kangas / Edward A.	United Technologies			m-W
Lee / Charles R.	United Technologies			m-W
McCormick / Richard D.	United Technologies			m-W
McGraw / Harold III	United Technologies			m-W
Myers / Richard B.	United Technologies			m-W
Swygert / H. Patrick	United Technologies			m-B
Villeneuve / Andre	United Technologies			m-W
Whitman / Christine Todd	United Technologies			f-W
Breyer / James W.	Dell			m-W
Carty / Donald J.	Dell			m-W
Dell / Michael S.	Dell			m-W
Gray / William H. III	Dell			m-B
Lewent / Judy C.	Dell			f-W
Luce / Thomas W. III	Dell			m-W
Luft / Klaus S.	Dell			m-W
Mandl / Alex J.	Dell			m-W
Narayen / Shantanu	Dell			m-A
Nunn / Samuel A.	Dell			m-W
Perot / H. Ross Jr.	Dell			m-W
Blankfein / Lloyd C.	Goldman Sachs Group			m-W
Bryan / John H.	Goldman Sachs Group			m-W
Cohn / Gary D.	Goldman Sachs Group			m-W
Dahlback / Claes	Goldman Sachs Group			m-W
Friedman / Stephen J.	Goldman Sachs Group			m-W
George / William W.	Goldman Sachs Group			m-W
Johnson / James A.	Goldman Sachs Group			m-W
Juliber / Lois D.	Goldman Sachs Group			f-W
Mittal / Lakshmi N.	Goldman Sachs Group			m-A
Schiro / James J.	Goldman Sachs Group			m-W
Scott / H. Lee Jr.	Goldman Sachs Group			m-W
Ausiello / Dennis A.	Pfizer			m-W
Brown / Michael S.	Pfizer			m-W
Burns / M. Anthony	Pfizer			m-W
Burt / Robert N.	Pfizer			m-W
Cornwell / W. Don	Pfizer			m-B
Fergusson / Frances D.	Pfizer			f-W
Gray / William H. III	Pfizer			m-B
Horner / Constance J.	Pfizer			f-W
Johnson / Suzanne Nora	Pfizer			f-W
Kilts / James M.	Pfizer			m-W
Kindler / Jeffrey B.	Pfizer			m-W
Lorch / George A.	Pfizer			m-W
Mascotte / John P.	Pfizer			m-W
Sanger / Stephen W.	Pfizer			m-W
Steere / William C. Jr.	Pfizer			m-W
Boyce / Gregory H.	Marathon Oil			m-W
Cazalot / Clarence P. Jr.	Marathon Oil			m-W
Daberko / David A.	Marathon Oil			m-W
Davis / William L.	Marathon Oil			m-W
Jackson / Shirley Ann	Marathon Oil			f-B
Lader / Philip	Marathon Oil			m-W
Lee / Charles R.	Marathon Oil			m-W
Phelps / Michael E. J.	Marathon Oil			m-W
Reilley / Dennis H.	Marathon Oil			m-W
Schofield / Seth E.	Marathon Oil			m-W
Snow / John W.	Marathon Oil			m-W
Usher / Thomas J.	Marathon Oil			m-W
Alvarez / Raul	Lowe's			m-L
Bernauer / David W.	Lowe's			m-W
Berry / Leonard L.	Lowe's			m-W
Browning / Peter C.	Lowe's			m-W
Hudson / Dawn E.	Lowe's			f-W
Ingram / Robert A.	Lowe's			m-W
Johnson / Robert L.	Lowe's			m-B
Larsen / Marshall O.	Lowe's			m-W
Lochridge / Richard K.	Lowe's			m-W
Niblock / Robert A.	Lowe's			m-W
Page / Stephen F.	Lowe's			m-W
Sloan / O. Temple Jr.	Lowe's			m-W
Ackerman / F. Duane	United Parcel Service			m-W
Burns / Michael J.	United Parcel Service			m-W
Davis / D. Scott	United Parcel Service			m-W
Eizenstat / Stuart E.	United Parcel Service			m-W
Eskew / Michael L.	United Parcel Service			m-W
Johnson / William R.	United Parcel Service			m-W
Livermore / Ann M.	United Parcel Service			f-W
Markham / Rudy	United Parcel Service			m-W
Randt / Clark T. Jr.	United Parcel Service			m-W
Thompson / John W.	United Parcel Service			m-B
Tome / Carol	United Parcel Service			f-W
Aldridge / Pete E. C. Jr.	Lockheed Martin			m-W
Archibald / Nolan D.	Lockheed Martin			m-W
Burritt / David B.	Lockheed Martin			m-W
Ellis / James O. Jr.	Lockheed Martin			m-W
Falk / Thomas J.	Lockheed Martin			m-W
King / Gwendolyn S.	Lockheed Martin			f-B
Loy / James M.	Lockheed Martin			m-W
McCorkindale / Douglas H.	Lockheed Martin			m-W
Ralston / Joseph W.	Lockheed Martin			m-W
Stevens / Anne	Lockheed Martin			f-W
Stevens / Robert J.	Lockheed Martin			m-W
Caputo / Lisa M.	Best Buy			f-W
Dunn / Brian J.	Best Buy			m-W
Higgins Victor / Kathy J.	Best Buy			f-W
James / Ronald	Best Buy			m-B
Kaplan / Elliot S.	Best Buy			m-W
Khosla / Sanjay	Best Buy			m-A
Mikan / G. Mike	Best Buy			m-W
Paull / Matthew H.	Best Buy			m-W
Rebolledo / Rogelio M.	Best Buy			m-L
Schulze / Richard M.	Best Buy			m-W
Tyabji / Hatim A.	Best Buy			m-A
Vittecoq / Gerard R.	Best Buy			m-W
Allemang / Arnold A.	Dow Chemical			m-W
Barton / Jacqueline K.	Dow Chemical			f-W
Bell / James A.	Dow Chemical			m-B
Fettig / Jeff M.	Dow Chemical			m-W
Franklin / Barbara Hackman	Dow Chemical			f-W
Hess / John B.	Dow Chemical			m-W
Liveris / Andrew N.	Dow Chemical			m-W
Polman / Paul	Dow Chemical			m-W
Reilley / Dennis H.	Dow Chemical			m-W
Ringler / James M.	Dow Chemical			m-W
Shaw / Ruth G.	Dow Chemical			f-W
Stern / Paul G.	Dow Chemical			m-W
Chappel / Donald R.	Supervalu			m-W
Cohen / Irwin	Supervalu			m-W
Daly / Ronald E.	Supervalu			m-B
Engel / Susan E.	Supervalu			f-W
Francis / Philip L.	Supervalu			m-W
Gage / Edwin C.	Supervalu			m-W
Herkert / Craig	Supervalu			m-W
Lillis / Charles M.	Supervalu			m-W
Rogers / Steven S.	Supervalu			m-B
Rubel / Matthew E.	Supervalu			m-W
Sales / Wayne C.	Supervalu			m-W
Seifert / Kathi P.	Supervalu			f-W
Johnson / W. Bruce	Sears Holdings			m-W
Kunkler / William C. III	Sears Holdings			m-W
Lampert / Edward S.	Sears Holdings			m-W
Mnuchin / Steven T.	Sears Holdings			m-W
Reese / Ann N.	Sears Holdings			f-W
Scott / Emily	Sears Holdings			f-W
Tisch / Thomas J.	Sears Holdings			m-W
Anderson / Paul G.	International Assets Holding			m-W
Branch / Scott J.	International Assets Holding			m-W
Bunte / Brent	International Assets Holding			m-W
Fowler / John M.	International Assets Holding			m-W
Friedman / Jack	International Assets Holding			m-W
Henze / Daryl	International Assets Holding			m-W
Krehbiel / Bruce	International Assets Holding			m-W
Miller / Robert A.	International Assets Holding			m-W
O'Connor / Sean M.	International Assets Holding			m-W
Parthemore / Eric	International Assets Holding			m-W
Radziwill / John	International Assets Holding			m-W
Veitia / Diego J.	International Assets Holding			m-L
Wheeler / Justin R.	International Assets Holding			m-W
Brown / Shona L.	PepsiCo			f-W
Cook / Ian M.	PepsiCo			m-W
Dublon / Dina	PepsiCo			f-L
Dzau / Victor J.	PepsiCo			m-A
Hunt / Ray Lee	PepsiCo			m-W
Ibargüen / Alberto	PepsiCo			m-L
Martinez / Arthur C.	PepsiCo			m-W
Nooyi / Indra K.	PepsiCo			f-A
Rockefeller / Sharon Percy	PepsiCo			f-W
Schiro / James J.	PepsiCo			m-W
